Page,Query,Clicks,Impressions,CTR,Position
https://scarabio.com/%D8%A3%D9%81%D8%B6%D9%84-%D9%85%D8%AD%D8%B1%D9%83%D8%A7%D8%AA-%D8%A8%D8%AD%D8%AB-%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88/,أفضل محركات بحث الفيديو,24,76,31.60%,1.8
https://scarabio.com/%D8%A3%D9%81%D8%B6%D9%84-%D9%85%D8%AD%D8%B1%D9%83%D8%A7%D8%AA-%D8%A8%D8%AD%D8%AB-%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88/,أفضل محركات بحث الفيديو,21,434,4.80%,4.7
https://scarabio.com/%D8%A3%D9%81%D8%B6%D9%84-%D9%85%D8%AD%D8%B1%D9%83%D8%A7%D8%AA-%D8%A8%D8%AD%D8%AB-%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88/,موقع للبحث عن فيديوهات,13,196,6.60%,2.8
https://scarabio.com/%D8%A7%D8%AD%D8%B3%D9%86-%D9%85%D8%AD%D8%B1%D9%83-%D8%A8%D8%AD%D8%AB-%D9%84%D9%84%D8%B5%D9%88%D8%B1/,أفضل موقع للبحث بالصور,11,69,15.90%,3.5
https://scarabio.com/%D8%A7%D8%AD%D8%B3%D9%86-%D9%85%D8%AD%D8%B1%D9%83-%D8%A8%D8%AD%D8%AB-%D9%84%D9%84%D8%B5%D9%88%D8%B1/,محرك بحث صور,11,63,17.50%,4.5
https://scarabio.com/%D8%A3%D9%81%D8%B6%D9%84-%D9%85%D8%AD%D8%B1%D9%83%D8%A7%D8%AA-%D8%A8%D8%AD%D8%AB-%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88/,بحث بالفيديو,6,93,6.50%,9.3
https://scarabio.com/%D8%A7%D8%AD%D8%B3%D9%86-%D9%85%D8%AD%D8%B1%D9%83-%D8%A8%D8%AD%D8%AB-%D9%84%D9%84%D8%B5%D9%88%D8%B1/,موقع البحث عن الصور,6,66,9.10%,10.5
https://scarabio.com/%D8%A7%D8%AD%D8%B3%D9%86-%D9%85%D8%AD%D8%B1%D9%83-%D8%A8%D8%AD%D8%AB-%D9%84%D9%84%D8%B5%D9%88%D8%B1/,أفضل موقع للبحث عن الصور,5,32,15.60%,3.5
https://scarabio.com/%D8%A7%D8%AD%D8%B3%D9%86-%D9%85%D8%AD%D8%B1%D9%83-%D8%A8%D8%AD%D8%AB-%D9%84%D9%84%D8%B5%D9%88%D8%B1/,افضل موقع للبحث عن الصور,5,29,17.20%,3.9
https://scarabio.com/%D8%A7%D8%AD%D8%B3%D9%86-%D9%85%D8%AD%D8%B1%D9%83-%D8%A8%D8%AD%D8%AB-%D9%84%D9%84%D8%B5%D9%88%D8%B1/,محرك بحث الصور,5,40,12.50%,6.3
https://scarabio.com/%D8%A7%D8%AD%D8%B3%D9%86-%D9%85%D8%AD%D8%B1%D9%83-%D8%A8%D8%AD%D8%AB-%D9%84%D9%84%D8%B5%D9%88%D8%B1/,محرك بحث بالصور,5,29,17.20%,7.1
